benchmark,ccws_avg_candidates,ccws_avg_lls,ccws_fallback_issues,ccws_fallback_per_throttle,ccws_max_lls,ccws_throttle_rate,ccws_throttled_loads,ccws_vta_hit_rate,ccws_vta_hits,ccws_vta_inserts,coalescer_misses,config_name,cores,cycles,cycles_norm_to_GTO,dcache_bank_stalls,dcache_mshr_stalls,dcache_read_misses,dcache_read_mpki,dcache_read_mpki_norm_to_GTO,dcache_reads,dcache_total_mpki,dcache_total_mpki_norm_to_GTO,dcache_write_misses,dcache_write_mpki,dcache_write_mpki_norm_to_GTO,dcache_writes,fallback_pki,ibuffer_stalls,ibuffer_stalls_pct,ifetch_latency,instrs,ipc,ipc_norm_to_GTO,load_latency,loads,logfile,memory_latency,memory_reads,memory_req_pki,memory_req_pki_norm_to_GTO,memory_requests,memory_rpki,memory_rpki_norm_to_GTO,memory_wpki,memory_writes,operands_stalls,operands_stalls_pct,policy,scheduler_idle,scheduler_idle_pct,scheduler_idle_pct_norm_to_GTO,scoreboard_alu_pct,scoreboard_csrs_pct,scoreboard_fpu_pct,scoreboard_lsu_pct,scoreboard_lsu_pct_norm_to_GTO,scoreboard_stalls,scoreboard_stalls_pct,scoreboard_wctl_pct,status,stores,threads,throttle_pki,vta_hit_pki,warps
bfs,,,,0.0,,0.0,,0.0,,,0.0,baseline_gto,2,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,/home/ltj/2026urp/vortex_aware_scheduler/ccws_bfs_stress_20260513_013441/bfs/c8k_w1/w32/bfs_GTO_baseline_gto_c8k_w1_c2w32t16.log,,,0.0,,,0.0,,0.0,,,,GTO,,,,,,,,,,,,FAIL,,16,0.0,0.0,32
bfs,,,,0.0,,0.0,,0.0,,,0.0,dyn_k16_vta32_cap4,2,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,/home/ltj/2026urp/vortex_aware_scheduler/ccws_bfs_stress_20260513_013441/bfs/c8k_w1/w32/bfs_CCWS_dyn_k16_vta32_cap4_c8k_w1_c2w32t16.log,,,0.0,,,0.0,,0.0,,,,CCWS,,,,,,,,,,,,FAIL,,16,0.0,0.0,32
bfs,,,,0.0,,0.0,,0.0,,,0.0,dyn_k16_vta32_cap8,2,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,/home/ltj/2026urp/vortex_aware_scheduler/ccws_bfs_stress_20260513_013441/bfs/c8k_w1/w32/bfs_CCWS_dyn_k16_vta32_cap8_c8k_w1_c2w32t16.log,,,0.0,,,0.0,,0.0,,,,CCWS,,,,,,,,,,,,FAIL,,16,0.0,0.0,32
bfs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,601318.0,baseline_gto,2,422658.0,1.0,672362.0,293308.0,48560.0,111.35928964881462,1.0,58480.0,296.3037705301491,1.0,80648.0,184.94448088133447,1.0,83568.0,0.0,557995.0,66.0,33.0,436066.0,1.031723,1.0,288.0,66744.0,/home/ltj/2026urp/vortex_aware_scheduler/ccws_bfs_stress_20260513_013441/bfs/c4k_w2/w32/bfs_GTO_baseline_gto_c4k_w2_c2w32t16.log,275.0,23497.0,149.8511693184059,1.0,65345.0,53.88404507574541,1.0,95.96712424266052,41848.0,1574.0,0.0,GTO,816350.0,96.0,1.0,0.0,0.0,0.0,99.0,1.0,1161281.0,137.0,0.0,PASS,52472.0,16,0.0,0.0,32
bfs,2.043,5813.683,3782.0,0.20257096946973754,913644.0,0.27972551839865756,18670.0,0.08446380419000207,2036.0,24105.0,601318.0,dyn_k16_vta32_cap4,2,419677.0,0.9929470162637404,676102.0,244258.0,48210.0,110.5566588543936,0.9927924217462933,58480.0,295.09294464599395,0.9959135657234846,80470.0,184.53628579160036,0.9977928776907053,83568.0,8.672999041429508,545763.0,65.0,30.0,436066.0,1.039051,1.0071026816306314,273.0,66744.0,/home/ltj/2026urp/vortex_aware_scheduler/ccws_bfs_stress_20260513_013441/bfs/c4k_w2/w32/bfs_CCWS_dyn_k16_vta32_cap4_c4k_w2_c2w32t16.log,270.0,23394.0,149.61496654176204,0.9984237508608159,65242.0,53.64784229910151,0.9956164616759586,95.96712424266052,41848.0,1574.0,0.0,CCWS,810388.0,96.0,1.0,0.0,0.0,0.0,99.0,1.0,1225684.0,146.0,0.0,PASS,52472.0,16,42.814619805258836,4.66901799268918,32
bfs,2.043,5813.683,3782.0,0.20257096946973754,913644.0,0.27972551839865756,18670.0,0.08446380419000207,2036.0,24105.0,601318.0,dyn_k16_vta32_cap8,2,419677.0,0.9929470162637404,676102.0,244258.0,48210.0,110.5566588543936,0.9927924217462933,58480.0,295.09294464599395,0.9959135657234846,80470.0,184.53628579160036,0.9977928776907053,83568.0,8.672999041429508,545763.0,65.0,30.0,436066.0,1.039051,1.0071026816306314,273.0,66744.0,/home/ltj/2026urp/vortex_aware_scheduler/ccws_bfs_stress_20260513_013441/bfs/c4k_w2/w32/bfs_CCWS_dyn_k16_vta32_cap8_c4k_w2_c2w32t16.log,270.0,23394.0,149.61496654176204,0.9984237508608159,65242.0,53.64784229910151,0.9956164616759586,95.96712424266052,41848.0,1574.0,0.0,CCWS,810388.0,96.0,1.0,0.0,0.0,0.0,99.0,1.0,1225684.0,146.0,0.0,PASS,52472.0,16,42.814619805258836,4.66901799268918,32
