benchmark,ccws_avg_candidates,ccws_avg_lls,ccws_fallback_issues,ccws_fallback_per_throttle,ccws_max_lls,ccws_throttle_rate,ccws_throttled_loads,ccws_vta_hit_rate,ccws_vta_hits,ccws_vta_inserts,coalescer_misses,config_name,cores,cycles,cycles_norm_to_GTO,dcache_bank_stalls,dcache_mshr_stalls,dcache_read_misses,dcache_read_mpki,dcache_read_mpki_norm_to_GTO,dcache_reads,dcache_total_mpki,dcache_total_mpki_norm_to_GTO,dcache_write_misses,dcache_write_mpki,dcache_write_mpki_norm_to_GTO,dcache_writes,fallback_pki,ibuffer_stalls,ibuffer_stalls_pct,ifetch_latency,instrs,ipc,ipc_norm_to_GTO,load_latency,loads,logfile,memory_latency,memory_reads,memory_req_pki,memory_req_pki_norm_to_GTO,memory_requests,memory_rpki,memory_rpki_norm_to_GTO,memory_wpki,memory_writes,operands_stalls,operands_stalls_pct,policy,scheduler_idle,scheduler_idle_pct,scheduler_idle_pct_norm_to_GTO,scoreboard_alu_pct,scoreboard_csrs_pct,scoreboard_fpu_pct,scoreboard_lsu_pct,scoreboard_lsu_pct_norm_to_GTO,scoreboard_stalls,scoreboard_stalls_pct,scoreboard_wctl_pct,status,stores,threads,throttle_pki,vta_hit_pki,warps
spmv,2.261,715.695,732.0,0.49931787175989084,55891.0,0.03456731902853101,1466.0,0.12769857433808554,627.0,4910.0,9604.0,P1_dyn_base100_k8_vta16_cap8,1,129279.0,0.9972692138575826,6575.0,0.0,5880.0,28.607709485791016,1.0,12370.0,73.27076613197497,0.9999336033463915,9180.0,44.66305664618394,0.9998910794031152,10441.0,3.5613679155780655,43387.0,33.0,52.0,205539.0,1.589887,1.0027384905505679,50.0,42410.0,/home/ltj/2026urp/vortex_aware_scheduler/ccws_group_sweep_20260513_003707/HCS/spmv/spmv_CCWS_P1_dyn_base100_k8_vta16_cap8_c1w16t16.log,88.0,5203.0,76.26776426858163,0.9999362122855139,15676.0,25.313930689552834,0.9998078401229823,50.953833579028796,10473.0,922.0,0.0,CCWS,115874.0,89.0,1.0,7.0,0.0,0.0,92.0,1.0,87079.0,67.0,0.0,PASS,13792.0,16,7.132466344586672,3.0505159604746543,16
spmv,2.337,835.427,822.0,0.5383104125736738,63669.0,0.03600565904267861,1527.0,0.13284582571602682,654.0,4923.0,9604.0,P2_dyn_base100_k8_vta16_cap4,1,130168.0,1.0041270355542185,6603.0,0.0,5889.0,28.651496796228454,1.0015306122448981,12370.0,73.31941869912765,1.0005975698824778,9181.0,44.66792190289921,1.0,10441.0,3.999241019952418,44237.0,33.0,52.0,205539.0,1.579029,0.9958903720802627,50.0,42410.0,/home/ltj/2026urp/vortex_aware_scheduler/ccws_group_sweep_20260513_003707/HCS/spmv/spmv_CCWS_P2_dyn_base100_k8_vta16_cap4_c1w16t16.log,89.0,5223.0,76.36506940288703,1.0012119665752375,15696.0,25.411235823858245,1.0036510376633359,50.953833579028796,10473.0,922.0,0.0,CCWS,116763.0,89.0,1.0,7.0,0.0,0.0,92.0,1.0,88001.0,67.0,0.0,PASS,13792.0,16,7.429247004218178,3.1818778917869603,16
sgemm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8336.0,baseline_gto,1,137561.0,1.0,9260.0,1.0,5034.0,9.522620479876512,1.0,14961.0,28.178179314310793,1.0,9862.0,18.65555883443428,1.0,10979.0,0.0,15201.0,11.0,24.0,528636.0,3.842921,1.0,25.0,79121.0,/home/ltj/2026urp/vortex_aware_scheduler/ccws_group_sweep_20260513_003707/CI/sgemm/sgemm_GTO_baseline_gto_c1w16t16.log,114.0,4856.0,30.014981953555946,1.0,15867.0,9.185904857028277,1.0,20.829077096527666,11011.0,4508.0,3.0,GTO,104075.0,75.0,1.0,21.0,0.0,0.0,78.0,1.0,62843.0,45.0,0.0,PASS,14435.0,16,0.0,0.0,16
sgemm,2.569,120.506,169.0,0.45187165775401067,6391.0,0.004726937222734799,374.0,0.04658597853391185,204.0,4379.0,8336.0,P0_dyn_base100_k8_vta16_nocap,1,137572.0,1.000079964524829,9260.0,1.0,5033.0,9.520728819073993,0.9998013508144615,14961.0,28.176287653508272,0.9999328678839956,9862.0,18.65555883443428,1.0,10979.0,0.31969067562557224,15201.0,11.0,24.0,528636.0,3.842613,0.999919852632932,25.0,79121.0,/home/ltj/2026urp/vortex_aware_scheduler/ccws_group_sweep_20260513_003707/CI/sgemm/sgemm_CCWS_P0_dyn_base100_k8_vta16_nocap_c1w16t16.log,115.0,4856.0,30.014981953555946,1.0,15867.0,9.185904857028277,1.0,20.829077096527666,11011.0,4508.0,3.0,CCWS,104086.0,75.0,1.0,22.0,0.0,0.0,77.0,0.9871794871794872,62854.0,45.0,0.0,PASS,14435.0,16,0.707481140141799,0.3858988037137085,16
sgemm,2.569,120.506,194.0,0.47665847665847666,6391.0,0.005144019918858457,407.0,0.04658597853391185,204.0,4379.0,8336.0,P1_dyn_base100_k8_vta16_cap8,1,137572.0,1.000079964524829,9260.0,1.0,5033.0,9.520728819073993,0.9998013508144615,14961.0,28.176287653508272,0.9999328678839956,9862.0,18.65555883443428,1.0,10979.0,0.3669821956885267,15201.0,11.0,24.0,528636.0,3.842613,0.999919852632932,25.0,79121.0,/home/ltj/2026urp/vortex_aware_scheduler/ccws_group_sweep_20260513_003707/CI/sgemm/sgemm_CCWS_P1_dyn_base100_k8_vta16_cap8_c1w16t16.log,115.0,4856.0,30.014981953555946,1.0,15867.0,9.185904857028277,1.0,20.829077096527666,11011.0,4508.0,3.0,CCWS,104086.0,75.0,1.0,22.0,0.0,0.0,77.0,0.9871794871794872,62854.0,45.0,0.0,PASS,14435.0,16,0.7699059466248988,0.3858988037137085,16
sgemm,2.569,120.506,208.0,0.49406175771971494,6391.0,0.005320964092971525,421.0,0.04658597853391185,204.0,4379.0,8336.0,P2_dyn_base100_k8_vta16_cap4,1,137572.0,1.000079964524829,9260.0,1.0,5033.0,9.520728819073993,0.9998013508144615,14961.0,28.176287653508272,0.9999328678839956,9862.0,18.65555883443428,1.0,10979.0,0.3934654469237812,15201.0,11.0,24.0,528636.0,3.842613,0.999919852632932,25.0,79121.0,/home/ltj/2026urp/vortex_aware_scheduler/ccws_group_sweep_20260513_003707/CI/sgemm/sgemm_CCWS_P2_dyn_base100_k8_vta16_cap4_c1w16t16.log,115.0,4856.0,30.014981953555946,1.0,15867.0,9.185904857028277,1.0,20.829077096527666,11011.0,4508.0,3.0,CCWS,104086.0,75.0,1.0,22.0,0.0,0.0,77.0,0.9871794871794872,62854.0,45.0,0.0,PASS,14435.0,16,0.7963891978601533,0.3858988037137085,16
hotspot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37504.0,baseline_gto,1,160687.0,1.0,24090.0,0.0,5125.0,9.819606640928122,1.0,30972.0,20.585727561001313,1.0,5619.0,10.766120920073192,1.0,15180.0,0.0,94295.0,58.0,5.0,521915.0,3.248023,1.0,26.0,113980.0,/home/ltj/2026urp/vortex_aware_scheduler/ccws_group_sweep_20260513_003707/CI/hotspot/hotspot_GTO_baseline_gto_c1w16t16.log,133.0,4881.0,38.49860609486219,1.0,20093.0,9.352097563779543,1.0,29.14650853108265,15212.0,3539.0,2.0,GTO,127442.0,79.0,1.0,13.0,0.0,5.0,80.0,1.0,125758.0,78.0,0.0,PASS,23404.0,16,0.0,0.0,16
hotspot,1.969,189.27,164.0,0.7130434782608696,18094.0,0.002017897876820495,230.0,0.08771929824561403,450.0,5130.0,37504.0,P0_dyn_base100_k8_vta16_nocap,1,161848.0,1.0072252266829302,24233.0,0.0,5130.0,9.829186744968052,1.0009756097560976,30972.0,20.5876435818093,1.0000930752047654,5615.0,10.75845683684125,0.9992881295604201,15180.0,0.3142274125096998,94063.0,58.0,5.0,521915.0,3.224723,0.99282640547804,27.0,113980.0,/home/ltj/2026urp/vortex_aware_scheduler/ccws_group_sweep_20260513_003707/CI/hotspot/hotspot_CCWS_P0_dyn_base100_k8_vta16_nocap_c1w16t16.log,140.0,4875.0,38.487109970014274,0.9997013885432737,20087.0,9.340601438931628,0.9987707437000616,29.14650853108265,15212.0,3539.0,2.0,CCWS,128603.0,79.0,1.0,13.0,0.0,5.0,80.0,1.0,126919.0,78.0,0.0,PASS,23404.0,16,0.4406847858367742,0.8622093635936886,16
hotspot,1.948,221.155,181.0,0.7387755102040816,29121.0,0.0021494999122653098,245.0,0.1117601246105919,574.0,5136.0,37504.0,P1_dyn_base100_k8_vta16_cap8,1,160968.0,1.0017487413418633,24148.0,0.0,5136.0,9.840682869815966,1.0021463414634144,30972.0,20.61638389392909,1.0014892032762472,5624.0,10.775701024113122,1.000889838049475,15180.0,0.3467997662454614,91569.0,56.0,5.0,521915.0,3.242352,0.9982540148268655,27.0,113980.0,/home/ltj/2026urp/vortex_aware_scheduler/ccws_group_sweep_20260513_003707/CI/hotspot/hotspot_CCWS_P1_dyn_base100_k8_vta16_cap8_c1w16t16.log,144.0,4953.0,38.636559593037184,1.0035833374807148,20165.0,9.490051061954533,1.0147510755992626,29.14650853108265,15212.0,3539.0,2.0,CCWS,127723.0,79.0,1.0,14.0,0.0,5.0,79.0,0.9875,126038.0,78.0,0.0,PASS,23404.0,16,0.4694250979565638,1.0997959437839495,16
hotspot,1.963,301.468,193.0,0.6942446043165468,39144.0,0.0024390243902439024,278.0,0.13230408442446745,677.0,5117.0,37504.0,P2_dyn_base100_k8_vta16_cap4,1,160328.0,0.9977658429119967,24199.0,0.0,5117.0,9.804278474464233,0.9984390243902439,30972.0,20.579979498577355,0.9997207743857036,5624.0,10.775701024113122,1.000889838049475,15180.0,0.36979201594129313,90732.0,56.0,5.0,521915.0,3.255295,1.0022389004018752,27.0,113980.0,/home/ltj/2026urp/vortex_aware_scheduler/ccws_group_sweep_20260513_003707/CI/hotspot/hotspot_CCWS_P2_dyn_base100_k8_vta16_cap4_c1w16t16.log,144.0,4944.0,38.619315405765306,1.0031354202956253,20156.0,9.47280687468266,1.0129071911493548,29.14650853108265,15212.0,3539.0,2.0,CCWS,127083.0,79.0,1.0,14.0,0.0,5.0,79.0,0.9875,125399.0,78.0,0.0,PASS,23404.0,16,0.532653784620101,1.297146087006505,16
blackscholes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17713.0,baseline_gto,1,260316.0,1.0,13854.0,0.0,15405.0,96.76082081818011,1.0,18195.0,209.86514412054746,1.0,18007.0,113.10432330236736,1.0,18486.0,0.0,157029.0,60.0,55.0,159207.0,0.611591,1.0,176.0,26908.0,/home/ltj/2026urp/vortex_aware_scheduler/ccws_group_sweep_20260513_003707/CI/blackscholes/blackscholes_GTO_baseline_gto_c1w16t16.log,133.0,15214.0,211.87510599408319,1.0,33732.0,95.56112482491348,1.0,116.31398116916971,18518.0,985.0,0.0,GTO,249691.0,95.0,1.0,1.0,0.0,1.0,97.0,1.0,204494.0,78.0,0.0,PASS,20838.0,16,0.0,0.0,16
blackscholes,2.019,5160.065,960.0,0.7901234567901234,555146.0,0.04515385758882117,1215.0,0.11909275558564658,1759.0,14770.0,17713.0,P0_dyn_base100_k8_vta16_nocap,1,261843.0,1.0058659475406813,13852.0,0.0,15477.0,97.21306223972564,1.0046738072054529,18195.0,210.4367270283342,1.0027235723692087,18026.0,113.22366478860854,1.0010551452213028,18486.0,6.029885620607134,161104.0,61.0,55.0,159207.0,0.608025,0.9941693059577398,180.0,26908.0,/home/ltj/2026urp/vortex_aware_scheduler/ccws_group_sweep_20260513_003707/CI/blackscholes/blackscholes_CCWS_P0_dyn_base100_k8_vta16_nocap_c1w16t16.log,138.0,15214.0,211.87510599408319,1.0,33732.0,95.56112482491348,1.0,116.31398116916971,18518.0,985.0,0.0,CCWS,251218.0,95.0,1.0,1.0,0.0,1.0,96.0,0.9896907216494846,206020.0,78.0,0.0,PASS,20838.0,16,7.631573988580904,11.048509173591613,16
blackscholes,2.019,5160.065,960.0,0.7901234567901234,555146.0,0.04515385758882117,1215.0,0.11909275558564658,1759.0,14770.0,17713.0,P1_dyn_base100_k8_vta16_cap8,1,261843.0,1.0058659475406813,13852.0,0.0,15477.0,97.21306223972564,1.0046738072054529,18195.0,210.4367270283342,1.0027235723692087,18026.0,113.22366478860854,1.0010551452213028,18486.0,6.029885620607134,161104.0,61.0,55.0,159207.0,0.608025,0.9941693059577398,180.0,26908.0,/home/ltj/2026urp/vortex_aware_scheduler/ccws_group_sweep_20260513_003707/CI/blackscholes/blackscholes_CCWS_P1_dyn_base100_k8_vta16_cap8_c1w16t16.log,138.0,15214.0,211.87510599408319,1.0,33732.0,95.56112482491348,1.0,116.31398116916971,18518.0,985.0,0.0,CCWS,251218.0,95.0,1.0,1.0,0.0,1.0,96.0,0.9896907216494846,206020.0,78.0,0.0,PASS,20838.0,16,7.631573988580904,11.048509173591613,16
blackscholes,2.019,2017.019,1213.0,0.7590738423028786,210795.0,0.05938754273821912,1598.0,0.08760712828186641,1288.0,14702.0,17713.0,P2_dyn_base100_k8_vta16_cap4,1,260626.0,1.0011908603389725,13934.0,0.0,15438.0,96.96809813638848,1.0021421616358326,18195.0,210.1540761398682,1.0013767508679516,18020.0,113.18597800347975,1.000721941467207,18486.0,7.619011726871306,158859.0,60.0,56.0,159207.0,0.610864,0.9988112970923378,177.0,26908.0,/home/ltj/2026urp/vortex_aware_scheduler/ccws_group_sweep_20260513_003707/CI/blackscholes/blackscholes_CCWS_P2_dyn_base100_k8_vta16_cap4_c1w16t16.log,134.0,15221.0,211.91907391006677,1.0002075180837187,33739.0,95.60509274089706,1.0004601025371367,116.31398116916971,18518.0,985.0,0.0,CCWS,250001.0,95.0,1.0,1.0,0.0,1.0,97.0,1.0,204306.0,78.0,0.0,PASS,20838.0,16,10.037247105968959,8.09009654098124,16
vecadd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4236.0,baseline_gto,1,58760.0,1.0,2233.0,0.0,2258.0,42.61020531400966,1.0,2464.0,158.9862620772947,1.0,6167.0,116.37605676328502,1.0,6191.0,0.0,4420.0,7.0,71.0,52992.0,0.901838,1.0,148.0,3216.0,/home/ltj/2026urp/vortex_aware_scheduler/ccws_group_sweep_20260513_003707/CI/vecadd/vecadd_GTO_baseline_gto_c1w16t16.log,119.0,2263.0,160.13737922705315,1.0,8486.0,42.70455917874396,1.0,117.43282004830918,6223.0,154.0,0.0,GTO,55058.0,93.0,1.0,2.0,0.0,0.0,96.0,1.0,33565.0,57.0,0.0,PASS,8279.0,16,0.0,0.0,16
vecadd,3.361,112.869,0.0,0.0,2720.0,0.0,0.0,0.04783037475345168,97.0,2028.0,4236.0,P0_dyn_base100_k8_vta16_nocap,1,58760.0,1.0,2233.0,0.0,2258.0,42.61020531400966,1.0,2464.0,158.9862620772947,1.0,6167.0,116.37605676328502,1.0,6191.0,0.0,4420.0,7.0,71.0,52992.0,0.901838,1.0,148.0,3216.0,/home/ltj/2026urp/vortex_aware_scheduler/ccws_group_sweep_20260513_003707/CI/vecadd/vecadd_CCWS_P0_dyn_base100_k8_vta16_nocap_c1w16t16.log,119.0,2263.0,160.13737922705315,1.0,8486.0,42.70455917874396,1.0,117.43282004830918,6223.0,154.0,0.0,CCWS,55058.0,93.0,1.0,2.0,0.0,0.0,96.0,1.0,33565.0,57.0,0.0,PASS,8279.0,16,0.0,1.8304649758454108,16
vecadd,3.361,112.869,0.0,0.0,2720.0,0.0,0.0,0.04783037475345168,97.0,2028.0,4236.0,P1_dyn_base100_k8_vta16_cap8,1,58760.0,1.0,2233.0,0.0,2258.0,42.61020531400966,1.0,2464.0,158.9862620772947,1.0,6167.0,116.37605676328502,1.0,6191.0,0.0,4420.0,7.0,71.0,52992.0,0.901838,1.0,148.0,3216.0,/home/ltj/2026urp/vortex_aware_scheduler/ccws_group_sweep_20260513_003707/CI/vecadd/vecadd_CCWS_P1_dyn_base100_k8_vta16_cap8_c1w16t16.log,119.0,2263.0,160.13737922705315,1.0,8486.0,42.70455917874396,1.0,117.43282004830918,6223.0,154.0,0.0,CCWS,55058.0,93.0,1.0,2.0,0.0,0.0,96.0,1.0,33565.0,57.0,0.0,PASS,8279.0,16,0.0,1.8304649758454108,16
vecadd,3.361,112.869,0.0,0.0,2720.0,0.0,0.0,0.04783037475345168,97.0,2028.0,4236.0,P2_dyn_base100_k8_vta16_cap4,1,58760.0,1.0,2233.0,0.0,2258.0,42.61020531400966,1.0,2464.0,158.9862620772947,1.0,6167.0,116.37605676328502,1.0,6191.0,0.0,4420.0,7.0,71.0,52992.0,0.901838,1.0,148.0,3216.0,/home/ltj/2026urp/vortex_aware_scheduler/ccws_group_sweep_20260513_003707/CI/vecadd/vecadd_CCWS_P2_dyn_base100_k8_vta16_cap4_c1w16t16.log,119.0,2263.0,160.13737922705315,1.0,8486.0,42.70455917874396,1.0,117.43282004830918,6223.0,154.0,0.0,CCWS,55058.0,93.0,1.0,2.0,0.0,0.0,96.0,1.0,33565.0,57.0,0.0,PASS,8279.0,16,0.0,1.8304649758454108,16
