p	f	policy	rc	IPC	cycles	L1_MPKI	l1_hit	mlat	scrb_pct	all_empty_pct	issued_pct	ready_size0_pct
128	8	GTO	0	1.448806	103196	74.64	21	213	69.2%	22.3%	8.6%	91%
128	16	GTO	0	1.757386	108547	61.79	21	191	62.8%	27.7%	9.6%	90%
128	32	GTO	0	2.337233	116777	47.78	24	162	65.1%	23.0%	11.8%	88%
128	64	GTO	0	3.310498	131975	32.11	31	131	64.5%	20.1%	15.4%	85%
128	96	GTO	0	4.076194	147347	27.00	35	111	62.9%	18.4%	18.7%	81%
256	2	GTO	0	1.243746	125368	88.16	17	186	85.3%	6.3%	8.3%	92%
256	4	GTO	0	1.406944	125280	77.82	21	193	82.0%	8.7%	9.3%	91%
256	8	GTO	0	1.678607	129368	65.87	21	179	68.8%	21.2%	10.0%	90%
256	16	GTO	0	2.229568	134400	53.23	24	200	66.7%	21.4%	11.9%	88%
256	32	GTO	0	3.161321	146776	35.19	30	135	66.2%	18.8%	15.0%	85%
256	64	GTO	0	4.646674	170432	23.86	36	106	63.2%	16.1%	20.7%	79%
256	96	GTO	0	5.809336	192684	19.07	40	85	60.9%	14.1%	25.0%	75%
512	2	GTO	0	1.311287	175391	76.79	19	244	86.6%	4.8%	8.7%	91%
512	4	GTO	0	1.513242	178861	71.30	18	227	83.7%	6.3%	10.0%	90%
512	8	GTO	0	1.921368	183438	58.03	21	220	73.6%	15.3%	11.1%	89%
512	16	GTO	0	2.662174	194369	39.19	27	193	69.1%	17.9%	13.0%	87%
512	32	GTO	0	3.900899	216911	27.16	33	166	66.8%	15.7%	17.5%	83%
512	64	GTO	0	5.753587	261058	19.03	38	126	63.0%	12.9%	24.1%	76%
512	96	GTO	0	7.002273	308024	15.82	41	84	59.8%	11.0%	29.2%	71%
1024	2	GTO	0	1.844806	185884	51.04	24	213	83.2%	4.7%	12.1%	88%
1024	4	GTO	0	2.204358	192466	43.22	27	216	79.5%	6.1%	14.3%	86%
1024	8	GTO	0	2.886589	203648	33.86	31	197	69.8%	14.1%	16.1%	84%
1024	16	GTO	0	4.041621	227095	24.65	35	156	66.6%	15.2%	18.3%	82%
1024	32	GTO	0	5.871802	268272	17.65	40	122	63.3%	12.4%	24.3%	76%
1024	64	GTO	0	7.958671	362747	13.38	43	90	59.5%	9.1%	31.4%	69%
1024	96	GTO	0	9.297793	451363	11.71	45	74	56.0%	7.5%	36.5%	63%
2048	2	GTO	0	2.736579	207842	32.22	35	208	77.7%	4.6%	17.8%	82%
2048	4	GTO	0	3.305290	221301	26.93	37	167	72.9%	5.8%	21.3%	79%
2048	8	GTO	0	4.338211	244025	21.41	40	167	64.2%	12.2%	23.6%	76%
2048	16	GTO	0	5.954542	288620	16.34	43	131	63.0%	11.8%	25.2%	75%
2048	32	GTO	0	7.981225	380069	12.74	45	106	60.3%	8.6%	31.1%	69%
2048	64	GTO	0	10.014009	564899	10.58	47	86	57.2%	5.7%	37.0%	63%
2048	96	GTO	0	11.081604	746850	9.77	48	77	53.4%	4.6%	42.0%	58%
4096	2	GTO	0	4.071383	250649	19.96	47	203	69.4%	4.4%	26.2%	74%
4096	4	GTO	0	4.782098	281438	17.13	47	168	63.8%	5.3%	30.9%	69%
4096	8	GTO	0	6.143158	325598	14.23	48	132	56.6%	9.9%	33.5%	67%
4096	16	GTO	0	7.952364	417503	11.69	48	109	60.1%	8.1%	31.8%	68%
4096	32	GTO	0	9.978496	596259	10.03	49	86	57.3%	5.5%	37.2%	63%
4096	64	GTO	0	11.608172	964557	9.13	49	74	55.7%	3.4%	40.9%	59%
4096	96	GTO	0	12.253194	1341326	8.78	49	72	52.1%	2.7%	45.3%	55%
8192	2	GTO	0	5.756665	334206	12.68	58	180	59.3%	4.1%	36.6%	63%
8192	4	GTO	0	6.493756	396483	11.47	55	138	53.1%	4.8%	42.1%	58%
8192	8	GTO	0	7.794686	498203	10.34	53	112	49.7%	7.3%	43.1%	57%
8192	16	GTO	0	9.575436	681244	9.44	52	95	57.6%	5.2%	37.2%	63%
8192	32	GTO	0	11.333278	1039635	8.75	51	84	55.6%	3.3%	41.0%	59%
8192	64	GTO	0	12.467999	1786688	8.39	50	77	54.1%	2.0%	43.9%	56%
8192	96	GTO	0	12.896441	2539770	8.28	50	80	51.4%	1.5%	47.1%	53%
16384	2	GTO	0	7.309941	510368	8.78	65	150	49.4%	3.8%	46.8%	53%
16384	4	GTO	0	7.831903	642534	8.69	61	125	45.3%	3.8%	51.0%	49%
16384	8	GTO	0	9.104075	840240	8.52	57	119	44.6%	4.6%	50.8%	49%
16384	16	GTO	0	10.102872	1279770	8.35	54	119	58.2%	2.7%	39.2%	61%
16384	32	GTO	0	10.735191	2184207	8.16	52	132	58.8%	1.5%	39.7%	60%
16384	64	GTO	0	10.841574	4098647	8.08	51	138	59.0%	0.8%	40.2%	60%
16384	96	GTO	0	10.862287	6019996	8.04	50	140	57.1%	0.6%	42.3%	58%
32768	2	GTO	0	8.437141	870491	6.82	69	144	42.9%	2.9%	54.2%	46%
32768	4	GTO	0	8.471644	1174207	7.31	63	158	42.7%	2.0%	55.3%	45%
32768	8	GTO	0	8.009817	1895443	7.69	58	196	51.2%	1.8%	47.0%	53%
32768	16	GTO	0	7.250307	3550421	7.74	55	247	66.9%	1.0%	32.0%	68%
32768	32	GTO	0	6.714671	6966640	7.84	52	276	70.1%	0.5%	29.4%	71%
32768	64	GTO	0	6.379600	13912236	7.87	51	288	71.5%	0.3%	28.2%	72%
32768	96	GTO	0	6.308232	20713375	7.90	50	292	70.6%	0.2%	29.3%	71%
64	2	gCAWS	0	1.042907	102432	105.10	10	205	85.8%	7.2%	7.0%	93%
64	4	gCAWS	0	1.080754	103549	100.42	11	205	83.2%	9.6%	7.2%	93%
64	8	gCAWS	0	1.160075	105282	92.11	14	204	70.2%	22.5%	7.3%	93%
64	16	gCAWS	0	1.313669	108672	78.85	19	204	64.0%	28.3%	7.7%	92%
64	32	gCAWS	0	1.585489	115956	64.06	19	183	64.5%	26.7%	8.8%	91%
64	64	gCAWS	0	2.017294	131776	52.26	23	167	67.3%	21.9%	10.8%	89%
64	96	gCAWS	0	2.394506	145202	40.94	28	144	68.0%	19.7%	12.3%	88%
128	2	gCAWS	0	1.146208	103729	94.63	11	204	85.4%	7.0%	7.7%	92%
128	4	gCAWS	0	1.231423	104808	87.24	14	204	82.6%	9.2%	8.2%	92%
128	8	gCAWS	0	1.404796	106429	75.42	19	205	69.5%	22.0%	8.5%	92%
128	16	gCAWS	0	1.721745	110794	62.19	19	183	63.2%	27.3%	9.5%	91%
128	32	gCAWS	0	2.296485	118849	50.81	23	163	65.0%	23.1%	11.9%	88%
128	64	gCAWS	0	3.239510	134867	33.96	30	136	64.8%	19.9%	15.3%	85%
128	96	gCAWS	0	3.993291	150406	27.24	34	113	63.4%	18.1%	18.5%	81%
256	2	gCAWS	0	1.226856	127094	88.70	15	188	85.7%	6.1%	8.2%	92%
256	4	gCAWS	0	1.380195	127708	78.67	19	193	82.7%	8.2%	9.1%	91%
256	8	gCAWS	0	1.663192	130567	66.28	19	182	69.3%	20.8%	9.9%	90%
256	16	gCAWS	0	2.190677	136786	57.57	21	196	67.3%	20.9%	11.8%	88%
256	32	gCAWS	0	3.184296	145717	35.48	29	148	66.4%	18.5%	15.1%	85%
256	64	gCAWS	0	4.691321	168810	24.00	35	113	64.1%	15.5%	20.4%	80%
256	96	gCAWS	0	5.915435	189228	19.23	39	93	61.4%	13.6%	25.0%	75%
512	2	gCAWS	0	1.319124	174349	76.64	19	246	86.8%	4.5%	8.7%	91%
512	4	gCAWS	0	1.521570	177882	67.76	18	230	84.0%	6.0%	10.0%	90%
512	8	gCAWS	0	1.920855	183487	53.76	21	215	73.9%	15.0%	11.1%	89%
512	16	gCAWS	0	2.674447	193477	39.20	26	191	69.2%	17.7%	13.1%	87%
512	32	gCAWS	0	3.962666	213530	27.21	32	157	66.8%	15.5%	17.7%	82%
512	64	gCAWS	0	5.892678	254896	18.96	38	116	63.8%	12.3%	23.9%	76%
512	96	gCAWS	0	7.304731	295270	15.75	41	94	59.7%	10.7%	29.6%	70%
1024	2	gCAWS	0	1.837560	186617	51.99	23	229	83.8%	4.3%	12.0%	88%
1024	4	gCAWS	0	2.201544	192712	43.56	26	211	80.1%	5.6%	14.3%	86%
1024	8	gCAWS	0	2.916868	201534	33.54	30	194	70.0%	13.7%	16.3%	84%
1024	16	gCAWS	0	4.150513	221137	24.30	35	158	66.1%	15.1%	18.8%	81%
1024	32	gCAWS	0	6.007093	262230	17.49	40	119	63.0%	12.2%	24.8%	75%
1024	64	gCAWS	0	8.396252	343842	13.22	43	81	59.4%	8.7%	31.9%	68%
1024	96	gCAWS	0	9.851292	426003	11.60	45	66	55.0%	7.2%	37.8%	62%
2048	2	gCAWS	0	2.752430	206645	32.89	34	220	78.3%	3.9%	17.8%	82%
2048	4	gCAWS	0	3.335373	219305	27.45	36	195	73.5%	4.9%	21.6%	78%
2048	8	gCAWS	0	4.439062	238481	21.38	39	164	64.3%	11.6%	24.1%	76%
2048	16	gCAWS	0	6.143804	279729	16.16	42	129	62.4%	11.5%	26.1%	74%
2048	32	gCAWS	0	8.434121	359660	12.55	45	98	58.7%	8.5%	32.8%	67%
2048	64	gCAWS	0	10.853302	521215	10.45	47	73	56.6%	5.4%	38.0%	62%
2048	96	gCAWS	0	12.028625	688050	9.68	48	63	52.0%	4.2%	43.8%	56%
4096	2	gCAWS	0	4.160859	245259	20.10	46	203	70.2%	3.2%	26.5%	73%
4096	4	gCAWS	0	5.016658	268279	17.18	47	170	64.0%	4.0%	32.0%	68%
4096	8	gCAWS	0	6.452570	309985	14.12	47	132	56.3%	9.0%	34.7%	65%
4096	16	gCAWS	0	8.459743	392463	11.61	48	97	58.6%	7.8%	33.6%	66%
4096	32	gCAWS	0	10.741632	553898	9.97	49	72	56.2%	5.2%	38.7%	61%
4096	64	gCAWS	0	12.703377	881399	9.04	49	59	54.5%	3.0%	42.4%	58%
4096	96	gCAWS	0	13.615680	1207103	8.71	49	54	49.5%	2.4%	48.1%	52%
8192	2	gCAWS	0	5.881994	327085	12.74	57	178	59.8%	2.5%	37.7%	62%
8192	4	gCAWS	0	6.901437	373062	11.37	55	137	52.8%	2.9%	44.3%	56%
8192	8	gCAWS	0	8.516368	455985	10.19	53	103	48.0%	6.2%	45.8%	54%
8192	16	gCAWS	0	10.530713	619446	9.30	52	84	55.0%	4.8%	40.2%	60%
8192	32	gCAWS	0	12.377820	951902	8.65	51	73	53.4%	3.0%	43.6%	56%
8192	64	gCAWS	0	13.618385	1635761	8.35	50	71	53.0%	1.6%	45.3%	55%
8192	96	gCAWS	0	14.018046	2336559	8.25	50	75	49.5%	1.2%	49.3%	51%
16384	2	gCAWS	0	7.628976	489025	8.86	64	152	49.5%	1.6%	48.9%	51%
16384	4	gCAWS	0	8.514915	590994	8.28	61	114	42.5%	1.9%	55.6%	44%
16384	8	gCAWS	0	9.715799	787337	8.29	57	120	43.3%	3.6%	53.1%	47%
16384	16	gCAWS	0	10.549750	1225560	8.12	54	123	56.3%	2.5%	41.2%	59%
16384	32	gCAWS	0	11.192653	2094935	8.02	52	124	56.5%	1.4%	42.1%	58%
16384	64	gCAWS	0	11.513868	3859327	7.98	51	124	57.6%	0.8%	41.6%	58%
16384	96	gCAWS	0	11.430476	5720752	8.00	50	127	55.1%	0.6%	44.3%	56%
32768	2	gCAWS	0	8.795114	835061	6.67	69	147	42.2%	1.0%	56.8%	43%
32768	4	gCAWS	0	8.742971	1137767	6.74	64	172	41.9%	1.0%	57.1%	43%
32768	8	gCAWS	0	8.228483	1845073	7.34	59	209	50.9%	1.7%	47.5%	53%
32768	16	gCAWS	0	7.824052	3290065	7.53	55	233	64.3%	1.1%	34.7%	65%
32768	32	gCAWS	0	7.509037	6229653	7.69	52	243	66.7%	0.6%	32.7%	67%
32768	64	gCAWS	0	7.338120	12094993	7.83	51	249	68.5%	0.3%	31.2%	69%
32768	96	gCAWS	0	7.062164	18502088	7.89	50	257	67.4%	0.2%	32.4%	68%
