p	f	policy	rc	IPC	cycles	L1_MPKI	l1_hit	mlat	scrb_pct	all_empty_pct	issued_pct	ready_size0_pct
64	2	RR	0	1.039972	102721	104.87	10	206	85.7%	7.3%	7.0%	93%
64	4	RR	0	1.075261	104078	100.26	12	206	83.2%	9.6%	7.2%	93%
64	8	RR	0	1.159667	105319	91.69	15	206	70.3%	22.4%	7.2%	93%
64	16	RR	0	1.310196	108960	78.76	19	205	64.1%	28.2%	7.7%	92%
64	32	RR	0	1.580501	116322	64.28	20	189	64.4%	26.8%	8.8%	91%
64	64	RR	0	2.021528	131500	52.11	23	163	67.0%	22.2%	10.7%	89%
64	96	RR	0	2.361218	147249	39.11	27	148	68.2%	19.6%	12.1%	88%
128	2	RR	0	1.155049	102935	94.33	12	207	85.3%	7.0%	7.7%	92%
128	4	RR	0	1.238763	104187	87.04	15	207	82.6%	9.2%	8.2%	92%
128	8	RR	0	1.397495	106985	75.37	20	205	69.6%	22.0%	8.4%	92%
128	16	RR	0	1.724796	110598	61.98	20	188	63.2%	27.4%	9.4%	91%
128	32	RR	0	2.296485	118849	50.77	23	163	65.0%	23.1%	11.8%	88%
128	64	RR	0	3.229453	135287	32.65	30	136	65.1%	19.8%	15.1%	85%
128	96	RR	0	3.981432	150854	27.36	34	115	62.6%	18.6%	18.8%	81%
256	2	RR	0	1.216983	128125	88.72	15	189	85.7%	6.1%	8.2%	92%
256	4	RR	0	1.372415	128432	78.56	19	194	82.7%	8.2%	9.1%	91%
256	8	RR	0	1.642971	132174	66.50	19	185	69.4%	20.8%	9.9%	90%
256	16	RR	0	2.199102	136262	50.76	23	170	67.8%	20.7%	11.5%	88%
256	32	RR	0	3.141884	147684	35.48	28	140	66.3%	18.7%	15.1%	85%
256	64	RR	0	4.736807	167189	23.99	35	112	63.0%	16.0%	21.0%	79%
256	96	RR	0	5.994024	186747	19.87	39	107	60.1%	14.2%	25.7%	74%
512	2	RR	0	1.287143	178681	77.23	18	239	87.0%	4.5%	8.5%	91%
512	4	RR	0	1.503399	180032	72.09	17	225	84.2%	6.0%	9.9%	90%
512	8	RR	0	1.904117	185100	53.69	21	212	74.1%	15.0%	11.0%	89%
512	16	RR	0	2.645284	195610	39.14	26	189	69.6%	17.6%	12.8%	87%
512	32	RR	0	3.932938	215144	27.22	32	162	66.7%	15.7%	17.6%	82%
512	64	RR	0	5.864058	256140	18.96	38	126	62.8%	12.7%	24.4%	76%
512	96	RR	0	7.245641	297678	15.77	41	107	59.3%	10.9%	29.7%	70%
1024	2	RR	0	1.813327	189111	52.09	23	223	83.9%	4.2%	11.8%	88%
1024	4	RR	0	2.170981	195425	43.70	26	208	80.3%	5.6%	14.1%	86%
1024	8	RR	0	2.865427	205152	33.71	30	185	70.4%	13.6%	16.0%	84%
1024	16	RR	0	4.059623	226088	24.47	35	154	66.9%	14.8%	18.3%	82%
1024	32	RR	0	5.926522	265795	17.54	39	119	63.0%	12.2%	24.8%	75%
1024	64	RR	0	8.278826	348719	13.22	43	87	58.6%	9.0%	32.4%	68%
1024	96	RR	0	9.732492	431203	11.71	45	78	54.9%	7.3%	37.9%	62%
2048	2	RR	0	2.723514	208839	32.91	34	225	78.6%	3.8%	17.6%	82%
2048	4	RR	0	3.291028	222260	27.48	36	194	73.9%	4.9%	21.2%	79%
2048	8	RR	0	4.372416	242116	21.37	39	164	64.7%	11.6%	23.7%	76%
2048	16	RR	0	6.119695	280831	16.18	42	130	63.3%	11.3%	25.4%	75%
2048	32	RR	0	8.358084	362932	12.60	45	103	59.6%	8.4%	32.0%	68%
2048	64	RR	0	10.752791	526087	10.47	47	82	55.8%	5.5%	38.7%	61%
2048	96	RR	0	11.958945	692059	9.72	47	74	51.6%	4.3%	44.1%	56%
4096	2	RR	0	4.085040	249811	20.11	46	205	70.6%	3.2%	26.1%	74%
4096	4	RR	0	4.871271	276286	17.25	47	169	64.7%	4.0%	31.3%	69%
4096	8	RR	0	6.332151	315880	14.13	48	133	57.0%	8.9%	34.0%	66%
4096	16	RR	0	8.390411	395706	11.63	48	101	59.6%	7.7%	32.7%	67%
4096	32	RR	0	10.650223	558652	9.97	49	80	56.0%	5.2%	38.8%	61%
4096	64	RR	0	12.649044	885185	9.05	49	66	53.8%	3.1%	43.1%	57%
4096	96	RR	0	13.533934	1214394	8.72	49	64	49.6%	2.4%	48.1%	52%
8192	2	RR	0	5.856515	328508	12.61	57	181	60.7%	2.4%	36.9%	63%
8192	4	RR	0	6.624464	388660	11.40	55	143	54.3%	2.8%	42.9%	57%
8192	8	RR	0	8.280776	468958	10.21	53	109	48.6%	6.2%	45.2%	55%
8192	16	RR	0	10.417498	626178	9.25	52	84	56.3%	4.7%	39.0%	61%
8192	32	RR	0	12.408793	949526	8.66	51	75	54.6%	2.9%	42.4%	58%
8192	64	RR	0	13.902988	1602276	8.32	50	65	51.7%	1.7%	46.5%	53%
8192	96	RR	0	14.198714	2306828	8.24	50	75	48.8%	1.2%	49.9%	50%
16384	2	RR	0	7.530165	495442	8.70	65	155	50.7%	1.6%	47.7%	52%
16384	4	RR	0	8.163482	616436	8.33	61	117	45.1%	1.8%	53.1%	47%
16384	8	RR	0	9.464350	808255	8.42	57	125	44.2%	3.6%	52.2%	48%
16384	16	RR	0	10.419167	1240920	8.21	54	129	57.5%	2.4%	40.0%	60%
16384	32	RR	0	10.998042	2132005	8.10	52	134	57.8%	1.4%	40.8%	59%
16384	64	RR	0	11.528033	3854585	8.01	50	131	57.4%	0.8%	41.8%	58%
16384	96	RR	0	11.426395	5722795	8.00	50	134	54.9%	0.6%	44.5%	55%
32768	2	RR	0	8.613833	852635	6.72	69	152	43.6%	1.0%	55.5%	45%
32768	4	RR	0	8.488930	1171816	7.09	64	182	43.3%	1.0%	55.8%	44%
32768	8	RR	0	8.105127	1873154	7.51	58	216	51.6%	1.7%	46.8%	53%
32768	16	RR	0	7.579180	3396362	7.67	55	241	65.9%	1.0%	33.1%	67%
32768	32	RR	0	7.194884	6501661	7.74	52	261	68.3%	0.5%	31.1%	69%
32768	64	RR	0	7.068369	12556575	7.85	51	262	69.6%	0.3%	30.1%	70%
32768	96	RR	0	7.045625	18545520	7.88	50	261	68.3%	0.2%	31.5%	68%
64	2	GTO	0	1.044650	102261	104.96	10	207	85.8%	7.2%	7.0%	93%
64	4	GTO	0	1.080681	103556	100.29	11	206	83.1%	9.7%	7.2%	93%
64	8	GTO	0	1.166702	104684	91.71	15	207	70.3%	22.4%	7.3%	93%
64	16	GTO	0	1.311099	108885	78.80	19	205	64.2%	28.1%	7.7%	92%
64	32	GTO	0	1.595728	115212	63.91	20	190	64.6%	26.6%	8.8%	91%
64	64	GTO	0	2.001498	132816	52.03	23	161	67.5%	21.7%	10.8%	89%
64	96	GTO	0	2.355332	147617	41.55	27	145	67.4%	20.1%	12.5%	88%
128	2	GTO	0	1.161742	102342	94.14	13	209	85.2%	7.0%	7.8%	92%
128	4	GTO	0	1.260910	102357	86.52	16	211	82.4%	9.3%	8.3%	92%
