p	f	policy	rc	IPC	cycles	L1_MPKI	l1_hit	mlat	scrb_pct	all_empty_pct	issued_pct	ready_size0_pct
16384	96	RR	0	10.450782	6257036	7.99	50	68	57.8%	0.4%	41.8%	58%
32768	2	RR	0	8.654944	848585	6.70	69	145	43.7%	0.7%	55.6%	44%
32768	4	RR	0	8.347289	1191700	7.23	64	151	45.0%	0.7%	54.3%	46%
32768	8	RR	0	7.508033	2022121	7.58	58	146	54.7%	1.1%	44.3%	56%
32768	16	RR	0	6.796956	3787231	7.65	55	144	68.4%	0.6%	30.9%	69%
32768	32	RR	0	6.362257	7352531	7.78	52	143	70.9%	0.3%	28.8%	71%
32768	64	RR	0	6.153196	14424130	7.83	51	142	72.0%	0.2%	27.8%	72%
32768	96	RR	0	6.181325	21138634	7.88	50	139	70.9%	0.1%	29.0%	71%
64	2	GTO	0	1.047662	101967	104.87	10	208	85.8%	7.2%	7.0%	93%
64	4	GTO	0	1.072314	104364	100.35	11	205	83.2%	9.6%	7.2%	93%
64	8	GTO	0	1.152141	106007	91.88	14	205	70.4%	22.3%	7.2%	93%
64	16	GTO	0	1.319582	108185	78.61	20	207	64.1%	28.2%	7.7%	92%
64	32	GTO	0	1.589327	115676	64.06	20	190	64.5%	26.7%	8.8%	91%
64	64	GTO	0	2.001408	132822	51.96	23	160	67.6%	21.7%	10.8%	89%
64	96	GTO	0	2.356864	147521	41.54	27	144	67.5%	20.0%	12.5%	88%
128	2	GTO	0	1.136186	104644	94.64	11	204	85.3%	6.9%	7.7%	92%
128	4	GTO	0	1.253769	102940	86.66	16	210	82.5%	9.2%	8.3%	92%
128	8	GTO	0	1.441362	103729	74.74	21	212	69.2%	22.2%	8.6%	91%
128	16	GTO	0	1.751368	108920	61.86	20	191	62.7%	27.7%	9.6%	90%
128	32	GTO	0	2.323642	117460	50.49	24	162	64.8%	23.2%	11.9%	88%
128	64	GTO	0	3.311176	131948	31.85	31	132	64.5%	20.1%	15.4%	85%
128	96	GTO	0	4.044137	148515	27.08	35	111	62.9%	18.4%	18.7%	81%
256	2	GTO	0	1.253878	124355	88.03	17	188	85.3%	6.4%	8.3%	92%
256	4	GTO	0	1.407911	125194	77.86	21	193	82.0%	8.7%	9.3%	91%
256	8	GTO	0	1.675925	129575	65.99	21	182	68.7%	21.2%	10.0%	90%
256	16	GTO	0	2.236224	134000	52.22	24	201	66.8%	21.3%	11.9%	88%
256	32	GTO	0	3.152686	147178	35.20	30	132	65.8%	19.0%	15.2%	85%
256	64	GTO	0	4.670378	169567	23.76	36	104	63.5%	15.9%	20.5%	79%
256	96	GTO	0	5.740544	194993	20.75	39	105	60.3%	14.3%	25.4%	75%
512	2	GTO	0	1.318028	174494	76.73	20	245	87.7%	3.6%	8.7%	91%
512	4	GTO	0	1.541054	175633	68.11	19	230	85.3%	4.6%	10.1%	90%
512	8	GTO	0	1.939256	181746	53.58	22	214	78.4%	10.5%	11.1%	89%
512	16	GTO	0	2.692189	192202	39.21	27	190	74.7%	12.2%	13.1%	87%
512	32	GTO	0	3.905887	216634	28.01	32	155	72.0%	10.6%	17.4%	83%
512	64	GTO	0	5.706091	263231	18.92	38	119	67.3%	8.6%	24.1%	76%
512	96	GTO	0	6.931411	311173	16.47	41	75	63.8%	7.4%	28.8%	71%
1024	2	GTO	0	1.856864	184677	51.41	25	237	84.3%	3.6%	12.1%	88%
1024	4	GTO	0	2.226068	190589	43.17	27	212	81.1%	4.5%	14.4%	86%
1024	8	GTO	0	2.911796	201885	33.71	31	188	74.1%	9.7%	16.2%	84%
1024	16	GTO	0	4.052060	226510	24.56	35	153	71.1%	10.4%	18.5%	82%
1024	32	GTO	0	5.824450	270453	17.56	40	118	67.6%	8.3%	24.2%	76%
1024	64	GTO	0	7.946447	363305	13.22	44	85	62.1%	6.2%	31.7%	68%
1024	96	GTO	0	9.225378	454906	11.79	45	67	58.5%	5.1%	36.5%	64%
2048	2	GTO	0	2.743575	207312	32.47	35	217	78.6%	3.6%	17.8%	82%
2048	4	GTO	0	3.337900	219139	27.62	37	191	74.2%	4.4%	21.4%	79%
2048	8	GTO	0	4.407918	240166	21.26	40	158	67.8%	8.5%	23.8%	76%
2048	16	GTO	0	5.928149	289905	16.21	43	120	66.9%	8.0%	25.1%	75%
