benchmark,policy,config_name,cache_name,cores,warps,threads,status,logfile
bfs,GTO,baseline_gto,c4k_w1,1,16,16,FAIL,ccws_bfs_stress_20260513_005110/bfs/c4k_w1/w16/bfs_GTO_baseline_gto_c4k_w1_c1w16t16.log
bfs,CCWS,dyn_k8_vta16_cap2,c4k_w1,1,16,16,FAIL,ccws_bfs_stress_20260513_005110/bfs/c4k_w1/w16/bfs_CCWS_dyn_k8_vta16_cap2_c4k_w1_c1w16t16.log
