run,graph,dcache,policy,status,rows,issued,span,ipc,read_miss,write_miss,artifact
run19,128,2048,RR,ok,187628,8448,46206,0.182833,1679,0,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run19/RR/bfs
run19,128,2048,GTO,ok,178931,8448,28163,0.299968,1661,0,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run19/GTO/bfs
run19,128,2048,gCAWS,ok,184692,8448,42956,0.196666,1709,0,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run19/gCAWS/bfs
run20,128,4096,RR,ok,185673,8448,46161,0.183012,1624,0,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run20/RR/bfs
run20,128,4096,GTO,ok,179287,8448,28694,0.294417,1581,0,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run20/GTO/bfs
run20,128,4096,gCAWS,ok,184112,8448,42964,0.196630,1628,0,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run20/gCAWS/bfs
run21,128,8192,RR,ok,216167,8448,45997,0.183664,1520,0,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run21/RR/bfs
run21,128,8192,GTO,ok,179537,8448,27990,0.301822,1518,0,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run21/GTO/bfs
run21,128,8192,gCAWS,ok,182210,8448,42286,0.199782,1514,0,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run21/gCAWS/bfs
run22,128,16384,RR,ok,301678,8448,45988,0.183700,1506,0,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run22/RR/bfs
run22,128,16384,GTO,ok,171228,8448,28329,0.298210,1504,0,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run22/GTO/bfs
run22,128,16384,gCAWS,ok,182822,8448,42879,0.197020,1516,0,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run22/gCAWS/bfs
run23,256,512,RR,ok,625179,17408,67595,0.257534,3441,0,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run23/RR/bfs
run23,256,512,GTO,ok,414471,17408,48978,0.355425,3414,0,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run23/GTO/bfs
run23,256,512,gCAWS,ok,493411,17408,67177,0.259136,3446,0,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run23/gCAWS/bfs
run24,256,1024,RR,ok,624571,17408,68161,0.255395,3421,0,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run24/RR/bfs
run24,256,1024,GTO,ok,402727,17408,48704,0.357424,3380,0,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run24/GTO/bfs
run24,256,1024,gCAWS,ok,486585,17408,65903,0.264146,3421,0,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run24/gCAWS/bfs
run25,256,2048,RR,ok,621727,17408,67298,0.258670,3428,0,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run25/RR/bfs
run25,256,2048,GTO,ok,403744,17408,49398,0.352403,3424,0,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run25/GTO/bfs
run25,256,2048,gCAWS,ok,496116,17408,66332,0.262437,3473,0,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run25/gCAWS/bfs
run26,256,4096,RR,ok,575805,17408,68161,0.255395,3334,0,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run26/RR/bfs
run26,256,4096,GTO,ok,409383,17408,48450,0.359298,3313,0,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run26/GTO/bfs
run26,256,4096,gCAWS,ok,514060,17408,66403,0.262157,3384,0,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run26/gCAWS/bfs
run27,256,8192,RR,ok,606599,17408,67115,0.259376,3216,0,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run27/RR/bfs
run27,256,8192,GTO,ok,403815,17408,49175,0.354001,3157,0,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run27/GTO/bfs
run27,256,8192,gCAWS,ok,487624,17408,65878,0.264246,3272,0,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run27/gCAWS/bfs
run28,256,16384,RR,ok,604722,17408,67316,0.258601,3036,0,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run28/RR/bfs
run28,256,16384,GTO,ok,390926,17408,48573,0.358388,2979,0,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run28/GTO/bfs
run28,256,16384,gCAWS,ok,507269,17408,66124,0.263263,3034,0,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run28/gCAWS/bfs
