run,bench,input,working_set_bytes,working_set_note,dcache_size,policy,status,trace_rows,issued,span_cycles,ipc,read_misses,non_cold_misses,reuse_hit_pct,unique_lines,line_local_pct,overflow_sets,read_hit_pct,reuse_access_ratio,line_stride_64_plus_pct,max_unique_tags_per_set,same_set_tag_changes,artifact
12,sgemm3,N8_T4,768,3*N*N*4=768B; local tiles=2*T*T*4=128B,32768,RR,ok,5751,840,65562,0.012812,2846,2417,22,437,7.61,3,19,87.68,82.15,256,2807,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run12/RR/sgemm3
12,sgemm3,N8_T4,768,3*N*N*4=768B; local tiles=2*T*T*4=128B,32768,GTO,ok,9298,840,62170,0.013511,2827,2410,22,437,7.58,3,20,87.68,82.21,256,2811,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run12/GTO/sgemm3
12,sgemm3,N8_T4,768,3*N*N*4=768B; local tiles=2*T*T*4=128B,32768,gCAWS,ok,5791,840,62485,0.013443,2844,2421,22,437,7.39,3,19,87.68,82.21,256,2810,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run12/gCAWS/sgemm3
13,sgemm3,N16_T4,3072,3*N*N*4=3072B; local tiles=2*T*T*4=128B,512,RR,ok,20211,2064,123765,0.016677,8891,7977,17,965,14.98,2,16,90.94,66.70,610,7891,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run13/RR/sgemm3
13,sgemm3,N16_T4,3072,3*N*N*4=3072B; local tiles=2*T*T*4=128B,512,GTO,ok,15446,2064,122934,0.016789,9151,8236,14,965,13.52,2,14,90.94,68.00,610,7952,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run13/GTO/sgemm3
13,sgemm3,N16_T4,3072,3*N*N*4=3072B; local tiles=2*T*T*4=128B,512,gCAWS,ok,20472,2064,121118,0.017041,8901,7984,17,965,13.80,2,16,90.94,67.06,610,7923,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run13/gCAWS/sgemm3
14,sgemm3,N16_T4,3072,3*N*N*4=3072B; local tiles=2*T*T*4=128B,1024,RR,ok,21648,2064,124724,0.016549,8729,7802,19,965,14.71,4,18,90.94,66.92,306,7562,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run14/RR/sgemm3
14,sgemm3,N16_T4,3072,3*N*N*4=3072B; local tiles=2*T*T*4=128B,1024,GTO,ok,13830,2064,123145,0.016761,8956,8044,16,965,13.45,4,15,90.94,68.19,306,7523,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run14/GTO/sgemm3
14,sgemm3,N16_T4,3072,3*N*N*4=3072B; local tiles=2*T*T*4=128B,1024,gCAWS,ok,22729,2064,123235,0.016748,8863,7938,18,965,13.92,4,16,90.94,67.15,306,7584,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run14/gCAWS/sgemm3
15,sgemm3,N16_T4,3072,3*N*N*4=3072B; local tiles=2*T*T*4=128B,2048,RR,ok,20147,2064,123483,0.016715,8602,7688,20,965,14.85,8,19,90.94,66.79,281,6698,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run15/RR/sgemm3
15,sgemm3,N16_T4,3072,3*N*N*4=3072B; local tiles=2*T*T*4=128B,2048,GTO,ok,12523,2064,124247,0.016612,8835,7926,18,965,13.61,8,17,90.94,67.86,281,6700,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run15/GTO/sgemm3
15,sgemm3,N16_T4,3072,3*N*N*4=3072B; local tiles=2*T*T*4=128B,2048,gCAWS,ok,20739,2064,120963,0.017063,8658,7751,19,965,13.87,8,18,90.94,67.14,281,6709,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run15/gCAWS/sgemm3
16,sgemm3,N16_T4,3072,3*N*N*4=3072B; local tiles=2*T*T*4=128B,4096,RR,ok,19690,2064,123212,0.016752,8262,7356,24,965,14.67,16,22,90.94,67.02,268,6685,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run16/RR/sgemm3
16,sgemm3,N16_T4,3072,3*N*N*4=3072B; local tiles=2*T*T*4=128B,4096,GTO,ok,10819,2064,123833,0.016668,8598,7681,20,965,13.53,16,19,90.94,68.01,268,6655,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run16/GTO/sgemm3
16,sgemm3,N16_T4,3072,3*N*N*4=3072B; local tiles=2*T*T*4=128B,4096,gCAWS,ok,19915,2064,119985,0.017202,8365,7464,22,965,13.69,16,21,90.94,67.29,268,6707,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run16/gCAWS/sgemm3
